source_count,지역명,수량(개),무게(kg),Latitude,Longitude
894,고흥신흥,452,23.2,34.4922,127.3481
785,고흥염포,435,18.3,34.45,127.4
198,해남송평,327,71.9,34.4,126.58
220,해남묵동리,221,15.4,34.35,126.5
145,해남예락,292,58.3,34.38,126.55
2016,완도평일도,806,85.0,34.3,126.95
1621,완도신지도,743,42.5,34.3317,126.8208
509,진도하조도,309,24.9,34.3166,126.05
757,신안압해도,1157,98.9,34.846,126.319
678,신안임자도,119,7.1,35.088,126.103
1478,고성하일,1710,21.8,34.9316,128.1874
375,남해유구,188,26.5,34.7592,127.9255
306,여수반월,246,6.8,34.7176,127.7663
11461,여수안도,11420,253.5,34.4831,127.8005
645,여수백야도,525,11.6,34.6161,127.6472
3568,여수거문도,4207,74.4,34.0286,127.3117
1399,부산해양대,800,22.9,35.0763,129.0864
1801,통영망일봉,1215,16.0,34.8486,128.4357
2239,마산봉암,965,19.6,35.21,128.6
1932,거제두모,3746,33.8,34.9525,128.6947
1409,완도보길도,1693,38.4,34.15,126.5333
4512,부산가덕도,3383,52.1,35.0255,128.8288
2014,통영욕지도,2563,47.9,34.6297,128.2461
